0, 1000, 100, 0.000, 0.999875
0, 1000, 100, 0.459, 1.22393
0, 1000, 100, 0.551, 1.3288
0, 1000, 100, 0.918, 1.85835
0, 1000, 100, 1.010, 2.01363
0, 1000, 100, 1.469, 2.752
0, 1000, 100, 1.561, 2.87683

0, 1000, 1000, 0.000, 0.999875
0, 1000, 1000, 0.459, 1.29806
0, 1000, 1000, 0.551, 1.44661
0, 1000, 1000, 0.918, 2.25988
0, 1000, 1000, 1.010, 2.51775
0, 1000, 1000, 1.469, 4.08959
0, 1000, 1000, 1.561, 4.43897

0, 10000, 100, 0.000, 0.999875
0, 10000, 100, 0.918, 1.64753
0, 10000, 100, 1.837, 2.66475

0, 10000, 1000, 0.000, 0.999875
0, 10000, 1000, 0.918, 2.1066
0, 10000, 1000, 1.837, 4.79738

2, 1000, 100, 0.000, 0.744095
2, 1000, 100, 0.459, 0.882506
2, 1000, 100, 0.551, 0.978441
2, 1000, 100, 0.918, 1.46336
2, 1000, 100, 1.010, 1.5926
2, 1000, 100, 1.469, 2.17876
2, 1000, 100, 1.561, 2.26751

2, 1000, 1000, 0.000, 0.744095
2, 1000, 1000, 0.459, 0.905231
2, 1000, 1000, 0.551, 1.03737
2, 1000, 1000, 0.918, 1.78254
2, 1000, 1000, 1.010, 2.02314
2, 1000, 1000, 1.469, 3.48953
2, 1000, 1000, 1.561, 3.82164

2, 10000, 100, 0.000, 0.744095
2, 10000, 100, 0.918, 1.30815
2, 10000, 100, 1.837, 2.13132

2, 10000, 1000, 0.000, 0.744095
2, 10000, 1000, 0.918, 1.68493
2, 10000, 1000, 1.837, 4.28384

1, 1000, 100, 0.000, 0.869138
1, 1000, 100, 0.459, 1.04395
1, 1000, 100, 0.551, 1.14621
1, 1000, 100, 0.918, 1.66149
1, 1000, 100, 1.010, 1.80232
1, 1000, 100, 1.469, 2.45892
1, 1000, 100, 1.561, 2.56688

1, 1000, 1000, 0.000, 0.869138
1, 1000, 1000, 0.459, 1.10272
1, 1000, 1000, 0.551, 1.24448
1, 1000, 1000, 0.918, 2.03116
1, 1000, 1000, 1.010, 2.28358
1, 1000, 1000, 1.469, 3.82979
1, 1000, 1000, 1.561, 4.17998

1, 10000, 100, 0.000, 0.869138
1, 10000, 100, 0.918, 1.47539
1, 10000, 100, 1.837, 2.39155

1, 10000, 1000, 0.000, 0.869138
1, 10000, 1000, 0.918, 1.88689
1, 10000, 1000, 1.837, 4.53466

0, 1800, 160, 0.000, 0.999875
0, 1800, 160, 0.165, 1.0116
0, 1800, 160, 0.331, 1.09947
0, 1800, 160, 0.496, 1.25105
0, 1800, 160, 0.661, 1.44515
0, 1800, 160, 0.826, 1.67086
0, 1800, 160, 0.992, 1.92458
0, 1800, 160, 1.157, 2.20385
0, 1800, 160, 1.322, 2.50001
0, 1800, 160, 1.488, 2.79235
0, 1800, 160, 1.653, 3.06875

0, 1800, 440, 0.000, 0.999875
0, 1800, 440, 0.165, 1.01277
