# 1000, 100
0.000, 0.999875
0.459, 1.22393
0.551, 1.3288
0.918, 1.85835
1.010, 2.01363
1.469, 2.752
1.561, 2.87683
% 1000, 1000
0.000, 0.999875
0.459, 1.29806
0.551, 1.44661
0.918, 2.25988
1.010, 2.51775
1.469, 4.08959
1.561, 4.43897
% 10000, 100
0.000, 0.999875
0.918, 1.64753
1.837, 2.66475
% 10000, 1000
0.000, 0.999875
0.918, 2.1066
1.837, 4.79738
% end of file
